StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,"Prolific ID ",Questionnaire D _1,Questionnaire D _2,Questionnaire D _3,Questionnaire D _4,Questionnaire D _5,Questionnaire D _6,Questionnaire D _7,Questionnaire D _8,Questionnaire D _9,Questionnaire D _10,Questionnaire D _11,Questionnaire D _12,Questionnaire D _13,Questionnaire D _14,Questionnaire D _15,Questionnaire D _16,Questionnaire D _17,PROLIFIC_PID,AttentionCheckStatus
2024-10-24 12:20:06,2024-10-24 12:20:56,IP Address,100,49,True,2024-10-24 12:20:57,R_8dw5Ced7q20rjCF,anonymous,EN-GB,I accept,test,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,631ef2180184b2e524d6f57f,
2024-10-24 12:25:42,2024-10-24 12:26:56,IP Address,100,73,True,2024-10-24 12:26:56,R_2ni8KOBh9P0loel,anonymous,EN-GB,I accept,6137d3a7bb7fd4d8f732b4a8,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,6137d3a7bb7fd4d8f732b4a8,
2024-10-24 12:25:24,2024-10-24 12:27:01,IP Address,100,97,True,2024-10-24 12:27:02,R_84G9i3kmiWPtSPm,anonymous,EN-GB,I accept,60ffb67d5973027234fe70fc,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,60ffb67d5973027234fe70fc,
2024-10-24 12:25:56,2024-10-24 12:28:08,IP Address,100,131,True,2024-10-24 12:28:08,R_2RwmTjOvWEvDzxP,anonymous,EN-GB,I accept,66081fcccbf2f5662d4c0bd9,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,66081fcccbf2f5662d4c0bd9,
2024-10-24 12:25:24,2024-10-24 12:28:17,IP Address,100,172,True,2024-10-24 12:28:18,R_2emoVW7OLQGYUzY,anonymous,EN-GB,I accept,616494f1ae4537c01914c758,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,616494f1ae4537c01914c758,
2024-10-24 12:26:04,2024-10-24 12:28:33,IP Address,100,149,True,2024-10-24 12:28:34,R_2PZvezxUOS3lcEI,anonymous,EN-GB,I accept,61248cf0f050d7da074abad1,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,61248cf0f050d7da074abad1,
2024-10-24 12:26:31,2024-10-24 12:28:59,IP Address,100,147,True,2024-10-24 12:29:00,R_2zNKnE3SfqXeYDG,anonymous,EN-GB,I accept,655b6cb155aab809e755fbac,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,655b6cb155aab809e755fbac,
2024-10-24 12:25:58,2024-10-24 12:29:01,IP Address,100,183,True,2024-10-24 12:29:02,R_2poLg7HbgMBwjOk,anonymous,EN-GB,I accept,66a112680954273f5e865103,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,66a112680954273f5e865103,
2024-10-24 12:26:04,2024-10-24 12:29:37,IP Address,100,212,True,2024-10-24 12:29:38,R_2TTujy0RtkXNI5D,anonymous,EN-GB,I accept,66d46aac2e9e567850b4c33f,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,66d46aac2e9e567850b4c33f,
2024-10-24 12:28:32,2024-10-24 12:30:38,IP Address,100,126,True,2024-10-24 12:30:39,R_8PYtuuW6bcZqUEW,anonymous,EN-GB,I accept,615e9c2b293734ccc98eb126,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,615e9c2b293734ccc98eb126,
2024-10-24 12:26:29,2024-10-24 12:33:34,IP Address,100,424,True,2024-10-24 12:33:34,R_2R1BuRwnuMG7USW,anonymous,EN-GB,I accept,667304b0e3a1a047d1a37cc2,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,667304b0e3a1a047d1a37cc2,
2024-10-24 13:01:06,2024-10-24 13:01:37,Survey Preview,100,31,True,2024-10-24 13:01:38,R_2oz3xtfdfE7Uksr,preview,EN-GB,I accept,test,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Fail
2024-10-24 13:07:15,2024-10-24 13:07:40,Survey Preview,100,24,True,2024-10-24 13:07:41,R_2EFmJHrCfEuWj52,preview,EN-GB,I accept,test,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Fail
2024-10-24 13:07:45,2024-10-24 13:08:11,Survey Preview,100,25,True,2024-10-24 13:08:11,R_2Eiuq1lrVHyWsTv,preview,EN-GB,I accept,test,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,,
2024-10-24 13:15:07,2024-10-24 13:16:26,IP Address,100,78,True,2024-10-24 13:16:26,R_2BUWAdHk4M6v8NH,anonymous,EN-GB,I accept,5f5e7de4c81d3672642cd612,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,5f5e7de4c81d3672642cd612,
2024-10-24 13:15:07,2024-10-24 13:16:27,IP Address,100,79,True,2024-10-24 13:16:27,R_8R2h0CqIfE79SeE,anonymous,EN-GB,I accept,60fecfcc7acc06ed3c706ceb,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,60fecfcc7acc06ed3c706ceb,
2024-10-24 13:15:09,2024-10-24 13:16:32,IP Address,100,82,True,2024-10-24 13:16:32,R_3qZNlYlPs47r1EW,anonymous,EN-GB,I accept,5c10e8870c0a040001fe7b86,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,5c10e8870c0a040001fe7b86,
2024-10-24 13:15:20,2024-10-24 13:16:45,IP Address,100,84,True,2024-10-24 13:16:46,R_8HtVytvrLNxv7rA,anonymous,EN-GB,I accept,5e04595a4fa02aefdb9c9ced,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,5e04595a4fa02aefdb9c9ced,
2024-10-24 13:15:05,2024-10-24 13:16:47,IP Address,100,102,True,2024-10-24 13:16:47,R_2niL1Fvb3JcKkGB,anonymous,EN-GB,I accept,6584d7cfe82f0652a8a40b18,Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,6584d7cfe82f0652a8a40b18,
2024-10-24 13:15:04,2024-10-24 13:16:57,IP Address,100,113,True,2024-10-24 13:16:58,R_2I5Gl9bCYq15U9i,anonymous,EN-GB,I accept,615a6a2991ab16acd75cce86,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree,615a6a2991ab16acd75cce86,
2024-10-24 13:15:30,2024-10-24 13:17:04,IP Address,100,94,True,2024-10-24 13:17:05,R_85tfWsqbpUQHFFi,anonymous,EN-GB,I accept,6601ed0a1398fd66d1bb3db7,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,6601ed0a1398fd66d1bb3db7,
2024-10-24 14:20:57,2024-10-24 14:21:23,IP Address,100,26,True,2024-10-24 14:21:24,R_2t5560TNVbALCaN,anonymous,EN-GB,I accept,test,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,,Fail
2024-10-24 14:22:00,2024-10-24 14:23:33,IP Address,100,92,True,2024-10-24 14:23:33,R_8WUajr5KkNoUHlQ,anonymous,EN-GB,I accept,612c15045931968d233e4562,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,612c15045931968d233e4562,
2024-10-24 14:21:57,2024-10-24 14:23:55,IP Address,100,118,True,2024-10-24 14:23:56,R_2E1r12bMWPSPvtD,anonymous,EN-GB,I accept,603575000ae69f0358b9b505,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,603575000ae69f0358b9b505,
2024-10-24 14:22:30,2024-10-24 14:24:58,IP Address,100,148,True,2024-10-24 14:24:59,R_2TfFzosnmDJyPg5,anonymous,EN-GB,I accept,5bb7aae585ac1e000108c7f6,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Disagree,5bb7aae585ac1e000108c7f6,
2024-10-24 14:22:43,2024-10-24 14:25:07,IP Address,100,144,True,2024-10-24 14:25:08,R_8QgCf62RG1OSwdZ,anonymous,EN-GB,I accept,669bbf93896ecc9457721b1a,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,669bbf93896ecc9457721b1a,
2024-10-24 14:21:56,2024-10-24 14:25:42,IP Address,100,226,True,2024-10-24 14:25:43,R_8K4bykRXRyqdqed,anonymous,EN-GB,I accept,5f966b181caf595331d1685e,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,5f966b181caf595331d1685e,
2024-10-24 14:23:05,2024-10-24 14:26:55,IP Address,100,229,True,2024-10-24 14:26:55,R_8tbQFkr1vxawwhP,anonymous,EN-GB,I accept,611fbf86423c9a875559377d,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,611fbf86423c9a875559377d,
2024-10-24 14:24:54,2024-10-24 14:27:53,IP Address,100,179,True,2024-10-24 14:27:54,R_2lwuR7GVhsR1tPX,anonymous,EN-GB,I accept,647e5f4c5b7dfbc365335f72,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Agree,647e5f4c5b7dfbc365335f72,
2024-10-24 14:24:18,2024-10-24 14:28:10,IP Address,100,231,True,2024-10-24 14:28:11,R_2HixjPA3nLAKZuF,anonymous,EN-GB,I accept,66b2209e62dfdd0cdf4808d0,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,66b2209e62dfdd0cdf4808d0,
2024-10-24 14:30:58,2024-10-24 14:33:50,IP Address,100,172,True,2024-10-24 14:33:50,R_2af3D6TnJAYyEsV,anonymous,EN-GB,I accept,66ce541cd8da920539a1c3cc,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,66ce541cd8da920539a1c3cc,
2024-10-24 14:41:48,2024-10-24 14:42:59,IP Address,100,71,True,2024-10-24 14:43:00,R_2Kr8wRvfPQX4DEA,anonymous,EN-GB,I accept,6719141c7acadf0601ba861f,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,6719141c7acadf0601ba861f,
2024-10-24 14:52:55,2024-10-24 14:54:10,IP Address,100,75,True,2024-10-24 14:54:11,R_81cRH87twxHQWat,anonymous,EN-GB,I accept,60b8f2c365ec36a3395896b6,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,60b8f2c365ec36a3395896b6,
2024-10-24 14:52:55,2024-10-24 14:54:16,IP Address,100,81,True,2024-10-24 14:54:16,R_2OU3MedsuXFgQBc,anonymous,EN-GB,I accept,66576ba96f27714bd610c4a1,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,66576ba96f27714bd610c4a1,
2024-10-24 14:52:57,2024-10-24 14:54:21,IP Address,100,83,True,2024-10-24 14:54:21,R_2sSkApZnHgtSWe3,anonymous,EN-GB,I accept,5e4949035607633bb4759ffe,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,5e4949035607633bb4759ffe,
2024-10-24 14:52:51,2024-10-24 14:54:25,IP Address,100,93,True,2024-10-24 14:54:25,R_2uNW1riQhHN6pe6,anonymous,EN-GB,I accept,5f03993af1a82a5c4988eabf,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,5f03993af1a82a5c4988eabf,
2024-10-24 14:52:44,2024-10-24 14:54:25,IP Address,100,100,True,2024-10-24 14:54:26,R_8P6aO7tKvuacN5q,anonymous,EN-GB,I accept,668946f774f64ae752e01a90,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,668946f774f64ae752e01a90,
2024-10-24 14:52:57,2024-10-24 14:54:35,IP Address,100,97,True,2024-10-24 14:54:35,R_2yA4cIFRL3asGGt,anonymous,EN-GB,I accept,65a96f1ddb914cd1486cbac6,Agree,Strongly Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,65a96f1ddb914cd1486cbac6,
2024-10-24 14:52:56,2024-10-24 14:54:39,IP Address,100,103,True,2024-10-24 14:54:40,R_24dovkNCLKoIgWB,anonymous,EN-GB,I accept,6502d95b3565d1c3c2695516,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,6502d95b3565d1c3c2695516,
